init_time,test_name
0.067081,rust-spin-user-manager
0.082819,rust-spin-user-manager
0.070391,rust-spin-user-manager
0.066106,rust-spin-user-manager
0.054697,rust-spin-user-manager
0.054920,rust-spin-user-manager
0.087631,rust-spin-user-manager
0.054478,rust-spin-user-manager
0.059823,rust-spin-user-manager
0.075265,rust-spin-user-manager
0.074622,rust-spin-user-manager
0.056290,rust-spin-user-manager
0.081978,rust-spin-user-manager
0.071201,rust-spin-user-manager
0.071201,rust-spin-user-manager
0.068216,rust-spin-user-manager
0.070800,rust-spin-user-manager
0.074709,rust-spin-user-manager
0.062396,rust-spin-user-manager
0.091064,rust-spin-user-manager
0.085902,rust-spin-user-manager
0.056737,rust-spin-user-manager
0.052884,rust-spin-user-manager
0.070162,rust-spin-user-manager
0.051586,rust-spin-user-manager
0.067279,rust-spin-user-manager
0.052659,rust-spin-user-manager
0.100143,rust-spin-user-manager
0.082855,rust-spin-user-manager
0.049519,rust-spin-user-manager
0.072473,rust-spin-user-manager
0.056527,rust-spin-user-manager
0.082955,rust-spin-user-manager
0.090734,rust-spin-user-manager
0.090148,rust-spin-user-manager
0.055196,rust-spin-user-manager
0.061174,rust-spin-user-manager
0.112722,rust-spin-user-manager
0.094670,rust-spin-user-manager
0.053897,rust-spin-user-manager
0.052825,rust-spin-user-manager
0.066383,rust-spin-user-manager
0.053442,rust-spin-user-manager
0.083502,rust-spin-user-manager
0.066017,rust-spin-user-manager
0.088940,rust-spin-user-manager
0.073399,rust-spin-user-manager
0.058128,rust-spin-user-manager
0.049957,rust-spin-user-manager
0.089565,rust-spin-user-manager
0.068014,rust-spin-user-manager
0.055058,rust-spin-user-manager
0.070277,rust-spin-user-manager
0.057403,rust-spin-user-manager
0.106209,rust-spin-user-manager
0.052130,rust-spin-user-manager
0.074062,rust-spin-n-body
0.053610,rust-spin-n-body
0.144628,rust-spin-n-body
0.053569,rust-spin-n-body
0.068722,rust-spin-n-body
0.056278,rust-spin-n-body
0.048219,rust-spin-n-body
0.058554,rust-spin-n-body
0.091934,rust-spin-n-body
0.078263,rust-spin-n-body
0.073723,rust-spin-n-body
0.085094,rust-spin-n-body
0.086692,rust-spin-n-body
0.087402,rust-spin-n-body
